Neighbourhood Name,Latitude,Longitude,Violation_Type,Reported_Month,Reported_Year,QRT,Preschool,Kindergarten,Gr7_Gr9,Gr10_Gr12,Post_Secondary,Homemaker,Employedage0-30,Employed 30+ ,Unemployed,Retired,Permanently U,Employment_No Response,"Income_Less than $30,","Income_$30,000 to les","Income_$60,000 to les","Income_$100,000 to le","Income_$125,000 to le","Income_$150,000 to le","Income_$200,000 to le","Income_$250,000 or mo",Income_No Response,actual values,predicted
EAUX CLAIRES,53.621639,-113.485637,Assault,September,2016,Q3,142.0,185.0,97.0,85.0,147.0,92.0,132.0,1170.0,100.0,246.0,26.0,1005.0,56.0,166.0,222.0,95.0,55.0,45.0,23.0,20.0,570.0,3,1.816
HIGH PARK,53.554986,-113.584199,Sexual Assaults,January,2016,Q1,17.0,18.0,22.0,17.0,14.0,21.0,38.0,223.0,41.0,155.0,14.0,758.0,42.0,61.0,50.0,34.0,13.0,7.0,3.0,3.0,450.0,1,1.34
MATT BERRY,53.622254,-113.436022,Assault,June,2016,Q2,141.0,313.0,150.0,159.0,178.0,117.0,189.0,1352.0,120.0,430.0,27.0,841.0,32.0,141.0,237.0,168.0,69.0,84.0,25.0,16.0,470.0,1,1.206
JASPER PARK,53.52307,-113.584105,Sexual Assaults,March,2016,Q1,61.0,67.0,25.0,29.0,30.0,37.0,90.0,512.0,53.0,189.0,40.0,622.0,104.0,127.0,118.0,27.0,25.0,12.0,6.0,6.0,412.0,1,1.226
EAUX CLAIRES,53.621639,-113.485637,Assault,December,2016,Q4,142.0,185.0,97.0,85.0,147.0,92.0,132.0,1170.0,100.0,246.0,26.0,1005.0,56.0,166.0,222.0,95.0,55.0,45.0,23.0,20.0,570.0,1,1.8
CANORA,53.546193,-113.584215,Assault,February,2016,Q1,98.0,120.0,39.0,31.0,39.0,51.0,111.0,674.0,187.0,194.0,74.0,1556.0,120.0,151.0,97.0,32.0,21.0,7.0,3.0,3.0,1076.0,10,4.486
RAMSAY HEIGHTS,53.483368,-113.579034,Robbery,April,2016,Q2,182.0,222.0,108.0,91.0,171.0,101.0,184.0,1247.0,121.0,513.0,20.0,429.0,69.0,198.0,239.0,118.0,86.0,105.0,72.0,77.0,398.0,1,1.286
SHERWOOD,53.529102,-113.584145,Assault,March,2016,Q1,53.0,52.0,14.0,22.0,21.0,9.0,54.0,316.0,51.0,124.0,12.0,610.0,42.0,96.0,90.0,41.0,32.0,22.0,3.0,1.0,310.0,1,1.712
ANTHONY HENDAY RAMPART,53.627497,-113.576375,Assault,May,2016,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.704
GIRARD INDUSTRIAL,53.51117,-113.437724,Sexual Assaults,June,2016,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.068
